filename,original_local_path,local_path,content_type,pages,association,font_families,bytes,sha256,source_url
ads-named-desire-image-02.jpg,/assets/6cbd27c783d7945cfb86.jpg,/assets/images/projects/ads-named-desire/ads-named-desire-image-02.jpg,image/jpeg,/ads-named-desire,ads-named-desire,,97681,86586c9819cc9b2fdce83c1f2b011d053e294ed81e11ec122db28cb97e1be5dd,https://static.wixstatic.com/media/430132_dee7249870cb470992e5f06807cc8209~mv2.jpg
ads-named-desire-image-03.jpg,/assets/6e7fc8eb5b7ff746c234.jpg,/assets/images/projects/ads-named-desire/ads-named-desire-image-03.jpg,image/jpeg,/ads-named-desire,ads-named-desire,,288987,85ab40b2ba94d2330c674866080b9152f3921d8e261c572eb7c2b2396a182436,https://static.wixstatic.com/media/430132_bc414d822f994f76b743dbb1bfa0a258~mv2.jpg
ads-named-desire-image-04.jpg,/assets/0fc26f7e600b36c381d9.jpg,/assets/images/projects/ads-named-desire/ads-named-desire-image-04.jpg,image/jpeg,/ads-named-desire,ads-named-desire,,303785,8a4e48298905cc106665588c33d3271bca72c41efc0183d83cf276c3e1c3a4a5,https://static.wixstatic.com/media/430132_602a359f4242464a905b52f07956a9f2~mv2.jpg
aesthetics-under-the-microscope-image-01.gif,/assets/bd9c9bcea6415a6aa4ac.gif,/assets/images/projects/aesthetics-under-the-microscope/aesthetics-under-the-microscope-image-01.gif,image/gif,/aesthetics-under-the-microscope,aesthetics-under-the-microscope,,8732440,005cc0a93331cf32ae317831ac660de716a8d1125fb2d16e46149ddae9dfb63b,https://static.wixstatic.com/media/430132_2c6d65cecd304be9a134b4b2ccd651c8~mv2.gif
aesthetics-under-the-microscope-image-02.gif,/assets/d091ef8c45cb7ecc151c.gif,/assets/images/projects/aesthetics-under-the-microscope/aesthetics-under-the-microscope-image-02.gif,image/gif,/aesthetics-under-the-microscope,aesthetics-under-the-microscope,,6571773,3ca5da141f509f2719c5252c77d4c739de780279e6449de0196ea0959ebe5d27,https://static.wixstatic.com/media/430132_bf58de5bc9e24341b83925734e8983d0~mv2.gif
aesthetics-under-the-microscope-image-03.gif,/assets/4b431d634b6a5ccfe700.gif,/assets/images/projects/aesthetics-under-the-microscope/aesthetics-under-the-microscope-image-03.gif,image/gif,/aesthetics-under-the-microscope,aesthetics-under-the-microscope,,7249941,062715f65f9ae795653d238758e44b0f441acafe37f2850b6db439ad9061dbb8,https://static.wixstatic.com/media/430132_aca376c693594d638d9944dd50b72432~mv2.gif
aesthetics-under-the-microscope-image-04.gif,/assets/f68da7af8eab1d394814.gif,/assets/images/projects/aesthetics-under-the-microscope/aesthetics-under-the-microscope-image-04.gif,image/gif,/aesthetics-under-the-microscope,aesthetics-under-the-microscope,,14310280,220668358d3e5f4fae2a49c8c46318b9b6218ede786db6c362651bf14c6189e3,https://static.wixstatic.com/media/430132_0f3e5a0f3e0641df84d507d8a16f1ecc~mv2.gif
aesthetics-under-the-microscope-image-05.gif,/assets/eff8b7461d3259bbbe62.gif,/assets/images/projects/aesthetics-under-the-microscope/aesthetics-under-the-microscope-image-05.gif,image/gif,/aesthetics-under-the-microscope,aesthetics-under-the-microscope,,14090571,42104e4c2d668e698b65cd3ff16112292016d4537ba4577120dfc3e074d963a9,https://static.wixstatic.com/media/430132_53c871f7371e415eaeb7752f527d955d~mv2.gif
aesthetics-under-the-microscope-image-06.gif,/assets/c0fb3d1fa9f1550c6ceb.gif,/assets/images/projects/aesthetics-under-the-microscope/aesthetics-under-the-microscope-image-06.gif,image/gif,/aesthetics-under-the-microscope,aesthetics-under-the-microscope,,13488855,a86f78acbaa8a4804e83df26f3bbe6d5de6e75d9383164458502442541c35428,https://static.wixstatic.com/media/430132_59d3f8f575694d5baa8529e07d1bb694~mv2.gif
aesthetics-under-the-microscope-image-07.gif,/assets/cd719825f4e6bc125a61.gif,/assets/images/projects/aesthetics-under-the-microscope/aesthetics-under-the-microscope-image-07.gif,image/gif,/aesthetics-under-the-microscope,aesthetics-under-the-microscope,,6995402,6da7b985c47adabb3bc149829271a31e8501b2fa6e846a980a0f3c501f5003c0,https://static.wixstatic.com/media/430132_87d43ebaca4844b89fbc8b4009bcd844~mv2.gif
